"TXNAME"	"GENEID"
"1"	"ENSDART00000166393"	"ENSDARG00000102407"
"2"	"ENSDART00000161842"	"ENSDARG00000102407"
"3"	"ENSDART00000170877"	"ENSDARG00000102407"
"4"	"ENSDART00000165461"	"ENSDARG00000102407"
"5"	"ENSDART00000171631"	"ENSDARG00000102407"
"6"	"ENSDART00000169005"	"ENSDARG00000102407"
"7"	"ENSDART00000168451"	"ENSDARG00000102097"
"8"	"ENSDART00000172454"	"ENSDARG00000102097"
"9"	"ENSDART00000172487"	"ENSDARG00000102097"
"10"	"ENSDART00000161190"	"ENSDARG00000102097"
"11"	"ENSDART00000161139"	"ENSDARG00000099319"
"12"	"ENSDART00000162928"	"ENSDARG00000099640"
"13"	"ENSDART00000166052"	"ENSDARG00000099640"
"14"	"ENSDART00000161955"	"ENSDARG00000099640"
"15"	"ENSDART00000163891"	"ENSDARG00000099640"
"16"	"ENSDART00000169685"	"ENSDARG00000104071"
"17"	"ENSDART00000166557"	"ENSDARG00000104071"
"18"	"ENSDART00000165402"	"ENSDARG00000100782"
"19"	"ENSDART00000013209"	"ENSDARG00000034862"
"20"	"ENSDART00000003463"	"ENSDARG00000075827"
"21"	"ENSDART00000152301"	"ENSDARG00000075827"
"22"	"ENSDART00000152530"	"ENSDARG00000075827"
"23"	"ENSDART00000152248"	"ENSDARG00000075827"
"24"	"ENSDART00000124837"	"ENSDARG00000088581"
"25"	"ENSDART00000064061"	"ENSDARG00000076900"
"26"	"ENSDART00000152205"	"ENSDARG00000096578"
"27"	"ENSDART00000160843"	"ENSDARG00000096578"
"28"	"ENSDART00000168760"	"ENSDARG00000100181"
"29"	"ENSDART00000160425"	"ENSDARG00000100181"
"30"	"ENSDART00000109529"	"ENSDARG00000075108"
"31"	"ENSDART00000003317"	"ENSDARG00000016304"
"32"	"ENSDART00000153285"	"ENSDARG00000016304"
"33"	"ENSDART00000081743"	"ENSDARG00000058803"
"34"	"ENSDART00000092584"	"ENSDARG00000063385"
"35"	"ENSDART00000111806"	"ENSDARG00000063385"
"36"	"ENSDART00000139438"	"ENSDARG00000063385"
"37"	"ENSDART00000148172"	"ENSDARG00000063385"
